Paper_ID,Title,Year,Cited_By_Count,Author_ID,Author_Name,Raw_Affiliation,Standardized_Institutions,Institution_Countries
https://openalex.org/W2007444716,Principles of Power Electronics,2023,1392,https://openalex.org/A5023691272,John G. Kassakian,Massachusetts Institute of Technology,Massachusetts Institute of Technology,US
https://openalex.org/W2007444716,Principles of Power Electronics,2023,1392,https://openalex.org/A5021298166,David J. Perreault,Massachusetts Institute of Technology,Massachusetts Institute of Technology,US
https://openalex.org/W2007444716,Principles of Power Electronics,2023,1392,https://openalex.org/A5080571958,George C. Verghese,Massachusetts Institute of Technology,Massachusetts Institute of Technology,US
https://openalex.org/W2007444716,Principles of Power Electronics,2023,1392,https://openalex.org/A5111476900,Martin F. Schlecht,SynQor Inc,Synlab Czech (Czechia),CZ
https://openalex.org/W2788013722,The 2018 GaN power electronics roadmap,2018,1279,https://openalex.org/A5048399593,Hiroshi Amano,"Nagoya University, Furo-cho, Chikusa-ku, Nagoya, 464-8601, Japan",Nagoya University,JP
https://openalex.org/W2788013722,The 2018 GaN power electronics roadmap,2018,1279,https://openalex.org/A5023824267,Yannick Baines,"CEA, LETI, L'Université Grenoble Alpes, Grenoble, France","Commissariat à l'Énergie Atomique et aux Énergies Alternatives, CEA Grenoble, Laboratoire d'Électronique des Technologies de l'Information, Université Grenoble Alpes","FR, FR, FR, FR"
https://openalex.org/W2788013722,The 2018 GaN power electronics roadmap,2018,1279,https://openalex.org/A5007987508,Edward Beam,"Qorvo, Inc., Richardson, TX, United States of America",Qorvo (United States),US
https://openalex.org/W2788013722,The 2018 GaN power electronics roadmap,2018,1279,https://openalex.org/A5041018780,Matteo Borga,"Department of Information Engineering, University of Padova, Padova, Italy",University of Padua,IT
https://openalex.org/W2788013722,The 2018 GaN power electronics roadmap,2018,1279,https://openalex.org/A5083515602,Thierry Bouchet,"CEA, LETI, L'Université Grenoble Alpes, Grenoble, France","Commissariat à l'Énergie Atomique et aux Énergies Alternatives, CEA Grenoble, Laboratoire d'Électronique des Technologies de l'Information, Université Grenoble Alpes","FR, FR, FR, FR"
https://openalex.org/W2788013722,The 2018 GaN power electronics roadmap,2018,1279,https://openalex.org/A5015486428,Paul R. Chalker,"School of Engineering, University of Liverpool, Liverpool, United Kingdom",University of Liverpool,GB
https://openalex.org/W2788013722,The 2018 GaN power electronics roadmap,2018,1279,https://openalex.org/A5101636254,Matthew Charles,"CEA, LETI, L'Université Grenoble Alpes, Grenoble, France","Commissariat à l'Énergie Atomique et aux Énergies Alternatives, CEA Grenoble, Laboratoire d'Électronique des Technologies de l'Information, Université Grenoble Alpes","FR, FR, FR, FR"
https://openalex.org/W2788013722,The 2018 GaN power electronics roadmap,2018,1279,https://openalex.org/A5085053354,Kevin J. Chen,"The Hong Kong University of Science and Technology, Hong Kong, People's Republic of China",Hong Kong University of Science and Technology,HK
https://openalex.org/W2788013722,The 2018 GaN power electronics roadmap,2018,1279,https://openalex.org/A5017235448,Nadim Chowdhury,"Department of Electrical Engineering and Computer Science, Massachusetts Institute of Technology, Cambridge, MA, United States of America",Massachusetts Institute of Technology,US
https://openalex.org/W2788013722,The 2018 GaN power electronics roadmap,2018,1279,https://openalex.org/A5030302953,Rongming Chu,"HRL Laboratories, Malibu, CA, United States of America",HRL Laboratories (United States),US
https://openalex.org/W2788013722,The 2018 GaN power electronics roadmap,2018,1279,https://openalex.org/A5064109540,Carlo De Santi,"Department of Information Engineering, University of Padova, Padova, Italy",University of Padua,IT
https://openalex.org/W2788013722,The 2018 GaN power electronics roadmap,2018,1279,https://openalex.org/A5091307828,M.M. De Souza,"Department of Electronic and Electrical Engineering, University of Sheffield, Mappin Street, Sheffield, S1 3JD, United Kingdom",University of Sheffield,GB
https://openalex.org/W2788013722,The 2018 GaN power electronics roadmap,2018,1279,https://openalex.org/A5008126297,Stefaan Decoutere,"imec, Kapeldreef 75, 3001 Leuven, Belgium",IMEC,BE
https://openalex.org/W2788013722,The 2018 GaN power electronics roadmap,2018,1279,https://openalex.org/A5004087886,L. Di Cioccio,"CEA, LETI, L'Université Grenoble Alpes, Grenoble, France","Commissariat à l'Énergie Atomique et aux Énergies Alternatives, CEA Grenoble, Laboratoire d'Électronique des Technologies de l'Information, Université Grenoble Alpes","FR, FR, FR, FR"
https://openalex.org/W2788013722,The 2018 GaN power electronics roadmap,2018,1279,https://openalex.org/A5030173620,Bernd Eckardt,"Fraunhofer Institute for Integrated Systems and Device Technology, IISB, Schottkystr. 10, 91058 Erlangen, Germany","Schott (Germany), Fraunhofer Institute for Integrated Systems and Device Technology","DE, DE"
https://openalex.org/W2788013722,The 2018 GaN power electronics roadmap,2018,1279,https://openalex.org/A5058087802,Takashi Egawa,"Research Center for Nano-Devices and Advanced Materials, Nagoya Institute of Technology, Nagoya 466 8555, Japan",Nagoya Institute of Technology,JP
https://openalex.org/W2788013722,The 2018 GaN power electronics roadmap,2018,1279,https://openalex.org/A5058087802,Takashi Egawa,"Innovation Center for Multi-Business of Nitride Semiconductors, Nagoya Institute of Technology, Nagoya 466 8555, Japan",Nagoya Institute of Technology,JP
https://openalex.org/W2788013722,The 2018 GaN power electronics roadmap,2018,1279,https://openalex.org/A5006818764,Patrick Fay,"Department of Electrical Engineering, University of Notre Dame, Notre Dame, IN, United States of America",University of Notre Dame,US
https://openalex.org/W2788013722,The 2018 GaN power electronics roadmap,2018,1279,https://openalex.org/A5084389947,Joseph J. Freedsman,"Research Center for Nano-Devices and Advanced Materials, Nagoya Institute of Technology, Nagoya 466 8555, Japan",Nagoya Institute of Technology,JP
https://openalex.org/W2788013722,The 2018 GaN power electronics roadmap,2018,1279,https://openalex.org/A5084912015,L. J. Guido,"Department of Electrical and Computer Engineering, Materials Science and Engineering, Virginia Tech, Blacksburg, VA, United States of America",Virginia Tech,US
https://openalex.org/W2788013722,The 2018 GaN power electronics roadmap,2018,1279,https://openalex.org/A5052122914,Oliver D. Häberlen,"Infineon Technologies Austria AG, Siemensstraße 2, 9500 Villach, Austria","Siemens (Austria), Infineon Technologies (Austria)","AT, AT"
https://openalex.org/W2788013722,The 2018 GaN power electronics roadmap,2018,1279,https://openalex.org/A5108458748,Geoff Haynes,"Inspirit Ventures, Ltd., Blandford Forum, United Kingdom",,
https://openalex.org/W2788013722,The 2018 GaN power electronics roadmap,2018,1279,https://openalex.org/A5045733691,Thomas Heckel,"Fraunhofer Institute for Integrated Systems and Device Technology, IISB, Schottkystr. 10, 91058 Erlangen, Germany","Schott (Germany), Fraunhofer Institute for Integrated Systems and Device Technology","DE, DE"
https://openalex.org/W2788013722,The 2018 GaN power electronics roadmap,2018,1279,https://openalex.org/A5031895129,Dilini Hemakumara,"James Watt Nanofabrication Centre, University of Glasgow, Glasgow, United Kingdom",University of Glasgow,GB
https://openalex.org/W2788013722,The 2018 GaN power electronics roadmap,2018,1279,https://openalex.org/A5080020074,P.A. Houston,"Department of Electronic and Electrical Engineering, University of Sheffield, Mappin Street, Sheffield, S1 3JD, United Kingdom",University of Sheffield,GB
https://openalex.org/W2788013722,The 2018 GaN power electronics roadmap,2018,1279,https://openalex.org/A5101526830,Jie Hu,"Department of Electrical Engineering and Computer Science, Massachusetts Institute of Technology, Cambridge, MA, United States of America",Massachusetts Institute of Technology,US
https://openalex.org/W2788013722,The 2018 GaN power electronics roadmap,2018,1279,https://openalex.org/A5009165211,Mengyuan Hua,"The Hong Kong University of Science and Technology, Hong Kong, People's Republic of China",Hong Kong University of Science and Technology,HK
https://openalex.org/W2788013722,The 2018 GaN power electronics roadmap,2018,1279,https://openalex.org/A5008331751,Qingyun Huang,"Department of Electrical and Computer Engineering, University of Texas at Austin, Austin, TX, United States of America",The University of Texas at Austin,US
https://openalex.org/W2788013722,The 2018 GaN power electronics roadmap,2018,1279,https://openalex.org/A5011191579,Alex Q. Huang,"Department of Electrical and Computer Engineering, University of Texas at Austin, Austin, TX, United States of America",The University of Texas at Austin,US
https://openalex.org/W2788013722,The 2018 GaN power electronics roadmap,2018,1279,https://openalex.org/A5101711290,Sheng Jiang,"Department of Electronic and Electrical Engineering, University of Sheffield, Mappin Street, Sheffield, S1 3JD, United Kingdom",University of Sheffield,GB
https://openalex.org/W2788013722,The 2018 GaN power electronics roadmap,2018,1279,https://openalex.org/A5007054242,H. Kawai,"Powdec KK 1-23-15 Wakagi-cho, Oyama city, Tochigi 323-0028, Japan",Nihon Dempa Kogyo (Japan),JP
https://openalex.org/W2788013722,The 2018 GaN power electronics roadmap,2018,1279,https://openalex.org/A5056405460,Dan Kinzer,Navitas Semiconductor,Navitas Systems (United States),US
